mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263														
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264		articTenutoAbove												
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	265														
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	266														
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	267														
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	268														
28	28	81	81	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	269		articTenutoBelow												
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	270									45					
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	271									45					
28	28	81	81	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	272		articTenutoBelow												
28	28	83	83	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	273									46					
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	274									46					
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	275														
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	276														
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	277														
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	278														
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	279														
29	29	84	84	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	280									45					
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	281									45					
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	282		articTenutoBelow												
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	283														
29	29	84	84	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	284									46					
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	285														
29	29	85	85	0.0	1/4	1/4	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>con Ped."											
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	286		articTenutoAbove												
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	287		articTenutoAbove												
30	30	87	87	0.0	0	0	Dynamic	3/4	1	1	0					sf													
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	288														
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	289														
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	290														
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	291														
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	292		articTenutoAbove												
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	293														
31	31	90	90	0.0	0	0	Spanner	3/4	1	1	0														1				
31	31	90	90	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	294		articTenutoAbove								1				
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	295										1				
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	296										1				
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	297										1				
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	298		articTenutoAbove								1				
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	299										1				
32	32	93	93	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	300		articTenutoAbove								1				
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	301										1				
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	302										1				
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	303										1				
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	304		articTenutoAbove								1				
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	305										1				
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	306		articTenutoAbove								1				
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	307										1				
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	308										1				
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	309										1				
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	310		articTenutoAbove								1				
33	33	197/2	197/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																		
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	311														
34	34	99	99	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>con moto"											
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	312														
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	313									47					
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	314									47					
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	315									47					
34	34	101	101	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	316		articAccentBelow							47					
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	317									47					
34	34	99	99	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>cantando"											
34	34	99	99	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	318		articTenutoBelow												
35	35	102	102	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	319														
35	35	205/2	205/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	320									48					
35	35	103	103	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	321									48					
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	322									48					
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	323		articAccentBelow							48					
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	324									48					
35	35	102	102	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	325		articTenutoBelow												
36	36	105	105	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	326														
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	327									49					
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	328									49					
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	329									49					
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	330		articAccentBelow							49					
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	331									49					
36	36	105	105	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	332									50					
36	36	211/2	211/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	333									50					
36	36	106	106	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	334		articTenutoBelow												
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	335									51					
37	37	108	108	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	336														
37	37	217/2	217/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	337									52					
37	37	109	109	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	338									52					
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	339									52					
37	37	110	110	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	340		articAccentBelow							52					
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	341														
37	37	108	108	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	342									51					
37	37	110	110	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	343									51					
38	38	111	111	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	344									53					
38	38	223/2	223/2	0.0	1/8	1/8	Spanner	3/4	1	1	0													53		0			
38	38	223/2	223/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	345									53		0			
38	38	112	112	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	346									53		0			
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	347									53		0			
38	38	227/2	227/2	0.0	5/8	5/8	Spanner	3/4	1	1	0													53					
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	348									53					
38	38	111	111	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	349														
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	350														
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	351														
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	352									51					
38	38	112	112	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	353														
39	39	229/2	229/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	354														
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	355		articAccentBelow												
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	356														
39	39	114	114	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	357														
39	39	231/2	231/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														2				
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	358									54	2				
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	359									54	2				
40	40	235/2	235/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	360														
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	361		articAccentBelow												
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	362														
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0																		
40	40	117	117	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	363														
40	40	237/2	237/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														3				
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	364									55	3				
40	40	119	119	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	365									55	3				
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	366														
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	367														
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	368														
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	369														
41	41	120	120	0.0	0	0	Spanner	3/4	2	1	0													55					
41	41	120	120	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	370									55					
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	371									55					
41	41	121	121	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	372		articTenutoAbove												
41	41	245/2	245/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	373									56					
42	42	247/2	247/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	374														
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	375		articAccentBelow												
42	42	251/2	251/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	376														
42	42	123	123	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	377														
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	378									57					
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	379									57					
43	43	253/2	253/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	380									58					
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	381									58					
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	382									58					
43	43	128	128	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	383									58					
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	384									58					
43	43	126	126	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>crescendo"											
43	43	126	126	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	385		articTenutoBelow												
44	44	129	129	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	386														
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	387									59					
44	44	130	130	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	388									59					
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	389									59					
44	44	131	131	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	390									59					
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	391									59					
44	44	129	129	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	392		articTenutoBelow												
45	45	132	132	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	393														
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	394									60					
45	45	133	133	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	395									60					
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	396									60					
45	45	134	134	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	397									60					
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	398									60					
45	45	132	132	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	399									61					
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	400									61					
45	45	133	133	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	401		articTenutoBelow												
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	402									62					
46	46	135	135	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	403														
46	46	271/2	271/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	404									63					
46	46	136	136	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	405									63					
46	46	273/2	273/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	406									63					
46	46	137	137	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	407									63					
46	46	275/2	275/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	408														
46	46	135	135	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	409									62					
46	46	137	137	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	410														
47	47	138	138	0.0	0	0	Dynamic	3/4	1	1	0					mf													
47	47	138	138	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	411									64					
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	412									64					
47	47	140	140	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	413									64					
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	414									64					
47	47	277/2	277/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	415									65					
47	47	139	139	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	416									65					
47	47	279/2	279/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	417									65					
47	47	140	140	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	418									65					
47	47	281/2	281/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	419									65					
48	48	141	141	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	420									64					
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	421									64					
48	48	142	142	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	422									64					
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	423									64					
48	48	143	143	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	424									64					
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	425														
48	48	141	141	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	426									65					
48	48	283/2	283/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	427									65					
48	48	142	142	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	428									65					
48	48	285/2	285/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	429									65					
48	48	143	143	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	430									65					
48	48	287/2	287/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	431														
49	49	144	144	0.0	0	0	Dynamic	3/4	1	1	0					pp													
49	49	144	144	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	432									66					
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	433									66					
49	49	146	146	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	434									66					
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	435									66					
49	49	289/2	289/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	436									67					
49	49	145	145	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	437									67					
49	49	291/2	291/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	438									67					
49	49	146	146	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	439									67					
49	49	293/2	293/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	440									67					
50	50	147	147	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	441									66					
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	442									66					
50	50	148	148	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	443									66					
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	444									66					
50	50	149	149	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	445									66					
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	446														
50	50	147	147	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	447									67					
50	50	295/2	295/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	448									67					
50	50	148	148	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	449									67					
50	50	297/2	297/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	450									67					
50	50	149	149	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	451									67					
50	50	299/2	299/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	452														
51	51	150	150	0.0	0	0	Dynamic	3/4	1	1	0					mf													
51	51	150	150	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	453									68					
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	454									68					
51	51	152	152	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	455									68					
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	456									68					
51	51	301/2	301/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	457									69					
51	51	151	151	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	458									69					
51	51	303/2	303/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	459									69					
51	51	152	152	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	460									69					
51	51	305/2	305/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	461									69					
52	52	153	153	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	462									68					
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	463									68					
52	52	154	154	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	464									68					
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	465									68					
52	52	155	155	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	466									68					
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	467									68					
52	52	153	153	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>cresc. accelerando"						69					
52	52	153	153	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	468									69					
52	52	307/2	307/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	469									69					
52	52	154	154	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	470									69					
52	52	309/2	309/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	471									69					
52	52	155	155	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	472									69					
52	52	311/2	311/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	473														
53	53	156	156	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	474									68					
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	475									68					
53	53	157	157	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	476									68					
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	477									68					
53	53	158	158	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	478									68					
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	479									68					
53	53	313/2	313/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	480									70					
53	53	157	157	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	481									70					
53	53	315/2	315/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	482									70					
53	53	158	158	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	483									70					
53	53	317/2	317/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	484									70					
54	54	159	159	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	485									68					
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	486									68					
54	54	160	160	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	487									68					
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	488									68					
54	54	161	161	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	489									68					
54	54	323/2	323/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0					f													
54	54	323/2	323/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	490														
54	54	647/4	647/4	0.0	11/16	11/16	StaffText	3/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco"											
54	54	159	159	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	491									70					
54	54	319/2	319/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	492									70					
54	54	160	160	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	493									70					
54	54	321/2	321/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	494									70					
54	54	161	161	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	495									70					
54	54	323/2	323/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	496														
55	55	162	162	0.0	0	0	Dynamic	3/4	1	1	0					mp													
55	55	162	162	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>Tempo I"											
55	55	162	162	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	497									71					
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	498									71					
55	55	164	164	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	499									71					
55	55	329/2	329/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	500									71					
55	55	325/2	325/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	501									72					
55	55	163	163	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	502									72					
55	55	327/2	327/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	503									72					
55	55	164	164	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	504														
56	56	165	165	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	505									71					
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	506									71					
56	56	166	166	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	507									71					
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	508									71					
56	56	167	167	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	509									71					
56	56	335/2	335/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	510									71					
56	56	331/2	331/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	511									73					
56	56	166	166	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	512									73					
56	56	333/2	333/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	513									73					
56	56	167	167	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	514														
57	57	168	168	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	515									71					
57	57	337/2	337/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	516									71					
57	57	169	169	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	517									71					
57	57	341/2	341/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	518									71					
57	57	337/2	337/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	519									74					
57	57	169	169	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	520									74					
57	57	339/2	339/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	521									74					
57	57	170	170	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	522														
58	58	171	171	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	523														
58	58	345/2	345/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	524		articTenutoAbove												
